,type,dt,next_dt,next_time_valid
0,feed,2019-07-22 21:40:00,2019-07-22 22:08:00,True
1,sleep,2019-07-22 22:08:00,2019-07-22 22:10:00,True
2,wake,2019-07-22 22:10:00,2019-07-22 22:12:00,True
3,feed,2019-07-22 22:12:00,2019-07-22 22:38:00,True
4,sleep,2019-07-22 22:38:00,2019-07-23 03:33:00,True
5,feed,2019-07-23 03:33:00,2019-07-23 03:40:00,True
6,sleep,2019-07-23 03:40:00,2019-07-23 04:55:00,True
7,feed,2019-07-23 04:55:00,2019-07-23 05:03:00,True
8,sleep,2019-07-23 05:03:00,2019-07-23 21:10:00,False
9,feed,2019-07-23 21:10:00,2019-07-23 22:00:00,True
10,sleep,2019-07-23 22:00:00,2019-07-24 20:35:00,False
11,feed,2019-07-24 20:35:00,2019-07-24 20:45:00,True
12,sleep,2019-07-24 20:45:00,2019-07-24 22:15:00,True
13,feed,2019-07-24 22:15:00,2019-07-24 22:45:00,True
14,sleep,2019-07-24 22:45:00,2019-07-25 03:30:00,True
15,feed,2019-07-25 03:30:00,2019-07-25 03:40:00,True
16,sleep,2019-07-25 03:40:00,2019-07-25 22:20:00,False
17,feed,2019-07-25 22:20:00,2019-07-25 22:40:00,True
18,sleep,2019-07-25 22:40:00,2019-07-26 02:00:00,True
19,feed,2019-07-26 02:00:00,2019-07-26 03:30:00,True
20,feed,2019-07-26 03:30:00,2019-07-26 04:15:00,True
21,feed,2019-07-26 04:15:00,2019-07-27 10:15:00,True
22,feed,2019-07-27 10:15:00,2019-07-27 11:15:00,True
23,sleep,2019-07-27 11:15:00,2019-07-27 11:45:00,True
24,wake,2019-07-27 11:45:00,2019-07-27 13:15:00,True
25,feed,2019-07-27 13:15:00,2019-07-27 14:30:00,True
26,feed,2019-07-27 14:30:00,2019-07-27 15:15:00,True
27,sleep,2019-07-27 15:15:00,2019-07-27 17:30:00,True
28,wake,2019-07-27 17:30:00,2019-07-27 17:30:00,True
29,feed,2019-07-27 17:30:00,2019-07-27 18:30:00,True
30,feed,2019-07-27 18:30:00,2019-07-27 19:25:00,True
31,sleep,2019-07-27 19:25:00,2019-07-27 19:45:00,True
32,wake,2019-07-27 19:45:00,2019-07-27 20:00:00,True
33,feed,2019-07-27 20:00:00,2019-07-27 21:00:00,True
34,feed,2019-07-27 21:00:00,2019-07-27 21:45:00,True
35,feed,2019-07-27 21:45:00,2019-07-27 22:10:00,True
36,sleep,2019-07-27 22:10:00,2019-07-28 08:45:00,False
37,sleep,2019-07-28 08:45:00,2019-07-28 09:00:00,True
38,wake,2019-07-28 09:00:00,2019-07-28 09:45:00,True
39,feed,2019-07-28 09:45:00,2019-07-28 10:45:00,True
40,feed,2019-07-28 10:45:00,2019-07-28 11:00:00,True
41,sleep,2019-07-28 11:00:00,2019-07-28 11:30:00,True
42,wake,2019-07-28 11:30:00,2019-07-28 11:55:00,True
43,feed,2019-07-28 11:55:00,2019-07-28 12:45:00,True
44,feed,2019-07-28 12:45:00,2019-07-28 13:00:00,True
45,sleep,2019-07-28 13:00:00,2019-07-28 13:30:00,True
46,feed,2019-07-28 13:30:00,2019-07-28 14:40:00,True
47,sleep,2019-07-28 14:40:00,2019-07-28 15:30:00,True
48,wake,2019-07-28 15:30:00,2019-07-28 15:45:00,True
49,feed,2019-07-28 15:45:00,2019-07-28 16:00:00,True
50,sleep,2019-07-28 16:00:00,2019-07-28 17:10:00,True
51,feed,2019-07-28 17:10:00,2019-07-28 18:05:00,True
52,sleep,2019-07-28 18:05:00,2019-07-28 18:50:00,True
53,wake,2019-07-28 18:50:00,2019-07-28 19:35:00,True
54,sleep,2019-07-28 19:35:00,2019-07-28 20:00:00,True
55,wake,2019-07-28 20:00:00,2019-07-28 20:30:00,True
56,feed,2019-07-28 20:30:00,2019-07-28 22:10:00,True
57,feed,2019-07-28 22:10:00,2019-07-28 22:35:00,True
58,sleep,2019-07-28 22:35:00,2019-07-28 23:10:00,True
59,wake,2019-07-28 23:10:00,2019-07-28 23:10:00,True
60,feed,2019-07-28 23:10:00,2019-07-28 23:15:00,True
61,sleep,2019-07-28 23:15:00,2019-07-29 03:45:00,True
62,feed,2019-07-29 03:45:00,2019-07-29 05:15:00,True
63,feed,2019-07-29 05:15:00,2019-07-29 05:30:00,True
64,sleep,2019-07-29 05:30:00,2019-07-29 05:45:00,True
65,wake,2019-07-29 05:45:00,2019-07-29 08:30:00,True
66,feed,2019-07-29 08:30:00,2019-07-29 10:30:00,True
67,sleep,2019-07-29 10:30:00,2019-07-29 11:00:00,True
68,wake,2019-07-29 11:00:00,2019-07-29 12:30:00,True
69,sleep,2019-07-29 12:30:00,2019-07-29 12:55:00,True
70,feed,2019-07-29 12:55:00,2019-07-29 15:10:00,True
71,feed,2019-07-29 15:10:00,2019-07-29 15:30:00,True
72,sleep,2019-07-29 15:30:00,2019-07-29 17:45:00,True
73,wake,2019-07-29 17:45:00,2019-07-29 18:30:00,True
74,feed,2019-07-29 18:30:00,2019-07-29 19:40:00,True
75,sleep,2019-07-29 19:40:00,2019-07-29 21:40:00,True
76,feed,2019-07-29 21:40:00,2019-07-29 22:00:00,True
77,sleep,2019-07-29 22:00:00,2019-07-30 02:50:00,True
78,wake,2019-07-30 02:50:00,2019-07-30 02:50:00,True
79,feed,2019-07-30 02:50:00,2019-07-30 03:20:00,True
80,sleep,2019-07-30 03:20:00,2019-07-30 03:50:00,True
81,wake,2019-07-30 03:50:00,2019-07-30 03:50:00,True
82,feed,2019-07-30 03:50:00,2019-07-30 04:00:00,True
83,sleep,2019-07-30 04:00:00,2019-07-30 07:00:00,True
84,wake,2019-07-30 07:00:00,2019-07-30 07:00:00,True
85,feed,2019-07-30 07:00:00,2019-07-30 07:10:00,True
86,sleep,2019-07-30 07:10:00,2019-07-30 20:00:00,False
87,feed,2019-07-30 20:00:00,2019-07-30 20:30:00,True
88,feed,2019-07-30 20:30:00,2019-07-30 22:10:00,True
89,feed,2019-07-30 22:10:00,2019-07-30 22:25:00,True
90,sleep,2019-07-30 22:25:00,2019-07-30 23:40:00,True
91,feed,2019-07-30 23:40:00,2019-07-30 23:54:00,True
92,sleep,2019-07-30 23:54:00,2019-07-31 03:30:00,True
93,feed,2019-07-31 03:30:00,2019-07-31 03:45:00,True
94,sleep,2019-07-31 03:45:00,2019-07-31 04:40:00,True
95,feed,2019-07-31 04:40:00,2019-07-31 20:10:00,False
96,feed,2019-07-31 20:10:00,2019-07-31 21:00:00,True
97,feed,2019-07-31 21:00:00,2019-07-31 22:00:00,True
98,feed,2019-07-31 22:00:00,2019-07-31 22:20:00,True
99,sleep,2019-07-31 22:20:00,2019-08-01 03:13:00,True
100,sleep,2019-08-01 03:13:00,2019-08-01 04:40:00,True
101,feed,2019-08-01 04:40:00,2019-08-01 10:51:00,True
102,sleep,2019-08-01 10:51:00,2019-08-01 11:15:00,True
103,wake,2019-08-01 11:15:00,2019-08-01 11:40:00,True
104,feed,2019-08-01 11:40:00,2019-08-01 12:09:00,True
