h4,p,table,candidate,party,ttl,pcnt,ttl_reg_voters,county
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 5621811   
     Results for All Counties 13780 of 13836 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    357462                 
                    23.85                 

                    Letitia A. James                 
                    DEM                 
                    579298                 
                    38.66                 

                    Leecia R. Eve                 
                    DEM                 
                    48738                 
                    3.25                 

                    Zephyr Teachout                 
                    DEM                 
                    442114                 
                    29.50                 

                    Blank                 

                    58979                 
                    3.94                 

                    Void                 

                    9003                 
                    0.60                 

                    Write-in                 

                    2968                 
                    0.20",Sean Patrick Maloney,DEM,357462,23.85,5621811,All
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 5621811   
     Results for All Counties 13780 of 13836 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    357462                 
                    23.85                 

                    Letitia A. James                 
                    DEM                 
                    579298                 
                    38.66                 

                    Leecia R. Eve                 
                    DEM                 
                    48738                 
                    3.25                 

                    Zephyr Teachout                 
                    DEM                 
                    442114                 
                    29.50                 

                    Blank                 

                    58979                 
                    3.94                 

                    Void                 

                    9003                 
                    0.60                 

                    Write-in                 

                    2968                 
                    0.20",Letitia A. James,DEM,579298,38.66,5621811,All
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 5621811   
     Results for All Counties 13780 of 13836 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    357462                 
                    23.85                 

                    Letitia A. James                 
                    DEM                 
                    579298                 
                    38.66                 

                    Leecia R. Eve                 
                    DEM                 
                    48738                 
                    3.25                 

                    Zephyr Teachout                 
                    DEM                 
                    442114                 
                    29.50                 

                    Blank                 

                    58979                 
                    3.94                 

                    Void                 

                    9003                 
                    0.60                 

                    Write-in                 

                    2968                 
                    0.20",Leecia R. Eve,DEM,48738,3.25,5621811,All
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 5621811   
     Results for All Counties 13780 of 13836 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    357462                 
                    23.85                 

                    Letitia A. James                 
                    DEM                 
                    579298                 
                    38.66                 

                    Leecia R. Eve                 
                    DEM                 
                    48738                 
                    3.25                 

                    Zephyr Teachout                 
                    DEM                 
                    442114                 
                    29.50                 

                    Blank                 

                    58979                 
                    3.94                 

                    Void                 

                    9003                 
                    0.60                 

                    Write-in                 

                    2968                 
                    0.20",Zephyr Teachout,DEM,442114,29.50,5621811,All
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 5621811   
     Results for All Counties 13780 of 13836 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    357462                 
                    23.85                 

                    Letitia A. James                 
                    DEM                 
                    579298                 
                    38.66                 

                    Leecia R. Eve                 
                    DEM                 
                    48738                 
                    3.25                 

                    Zephyr Teachout                 
                    DEM                 
                    442114                 
                    29.50                 

                    Blank                 

                    58979                 
                    3.94                 

                    Void                 

                    9003                 
                    0.60                 

                    Write-in                 

                    2968                 
                    0.20",Blank,,58979,3.94,5621811,All
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 5621811   
     Results for All Counties 13780 of 13836 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    357462                 
                    23.85                 

                    Letitia A. James                 
                    DEM                 
                    579298                 
                    38.66                 

                    Leecia R. Eve                 
                    DEM                 
                    48738                 
                    3.25                 

                    Zephyr Teachout                 
                    DEM                 
                    442114                 
                    29.50                 

                    Blank                 

                    58979                 
                    3.94                 

                    Void                 

                    9003                 
                    0.60                 

                    Write-in                 

                    2968                 
                    0.20",Void,,9003,0.60,5621811,All
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 5621811   
     Results for All Counties 13780 of 13836 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    357462                 
                    23.85                 

                    Letitia A. James                 
                    DEM                 
                    579298                 
                    38.66                 

                    Leecia R. Eve                 
                    DEM                 
                    48738                 
                    3.25                 

                    Zephyr Teachout                 
                    DEM                 
                    442114                 
                    29.50                 

                    Blank                 

                    58979                 
                    3.94                 

                    Void                 

                    9003                 
                    0.60                 

                    Write-in                 

                    2968                 
                    0.20",Write-in,,2968,0.20,5621811,All
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 91122     
   Results for Albany county 319 of 319 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    8513                 
                    31.47                 

                    Letitia A. James                 
                    DEM                 
                    3952                 
                    14.61                 

                    Leecia R. Eve                 
                    DEM                 
                    1600                 
                    5.92                 

                    Zephyr Teachout                 
                    DEM                 
                    10818                 
                    39.99                 

                    Blank                 

                    671                 
                    2.48                 

                    Void                 

                    497                 
                    1.84                 

                    Write-in                 

                    998                 
                    3.69",Sean Patrick Maloney,DEM,8513,31.47,91122,Albany
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 91122     
   Results for Albany county 319 of 319 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    8513                 
                    31.47                 

                    Letitia A. James                 
                    DEM                 
                    3952                 
                    14.61                 

                    Leecia R. Eve                 
                    DEM                 
                    1600                 
                    5.92                 

                    Zephyr Teachout                 
                    DEM                 
                    10818                 
                    39.99                 

                    Blank                 

                    671                 
                    2.48                 

                    Void                 

                    497                 
                    1.84                 

                    Write-in                 

                    998                 
                    3.69",Letitia A. James,DEM,3952,14.61,91122,Albany
Attorney General DEM Primary,"Vote for  1                Active Registered Voters 91122     
   Results for Albany county 319 of 319 precincts reporting","Candidate Name
Party
Total Votes
Votes Percentage

                    Sean Patrick Maloney                 
    
                    DEM                 
                    8513                 
                    31.47                 

                    Letitia A. James                 
                    DEM                 
                    3952                 
                    14.61                 

                    Leecia R. Eve                 
                    DEM                 
                    1600                 
                    5.92                 

                    Zephyr Teachout                 
                    DEM                 
                    10818                 
                    39.99                 

                    Blank                 

                    671                 
                    2.48                 

                    Void                 

                    497                 
                    1.84                 

                    Write-in                 

                    998                 
                    3.69",Leecia R. Eve,DEM,1600,5.92,91122,Albany
