county_name,min_lng_rank,min_lat_rank,max_lng_rank,max_lat_rank,num_squares,county,ttl,pre_mult,mult,sqrt_mult,mid_lng_rank,mid_lat_rank,lat_rank_range,scaled_min_lat_rank,scaled_max_lat_rank,lng_rank_range,scaled_min_lng_rank,scaled_max_lng_rank
Albany,57.0,35.0,61.0,40.0,24,Albany,27049,1127.0416666666667,424.4702380952381,20.60267550817704,59.0,37.5,6.0,-24.308026524531115,99.30802652453112,5.0,7.493311229557399,110.5066887704426
Allegany,17.0,28.0,22.0,36.0,46,Allegany,1272,27.652173913043477,10.414455110107284,3.22714349078365,19.5,32.0,9.0,17.477854291473577,46.52214570852642,6.0,9.81856952764905,29.18143047235095
Bronx,60.0,7.0,60.0,8.0,2,Bronx,125978,62989.0,23723.12987012987,154.02314718940744,60.0,7.5,2.0,-146.52314718940744,161.52314718940744,1.0,-17.01157359470372,137.01157359470372
Broome,38.0,28.0,44.0,34.0,33,Broome,9944,301.3333333333333,113.48917748917748,10.653129938622614,41.0,31.0,7.0,-6.28595478517915,68.28595478517914,7.0,3.7140452148208496,78.28595478517914
Cattaraugus,9.0,28.0,16.0,36.0,67,Cattaraugus,2232,33.3134328358209,12.546617561542934,3.542120489416323,12.5,32.0,9.0,16.060457797626547,47.93954220237345,8.0,-1.6684819576652927,26.668481957665293
Cayuga,32.0,38.0,36.0,50.0,37,Cayuga,3515,95.0,35.77922077922078,5.9815734367489615,34.0,44.0,13.0,5.119772661131748,82.88022733886825,5.0,19.046066408127597,48.9539335918724
Chautauqua,3.0,28.0,8.0,36.0,44,Chautauqua,4765,108.29545454545455,40.78659976387249,6.386438738755151,5.5,32.0,9.0,3.261025675601818,60.738974324398185,6.0,-13.659316216265452,24.659316216265452
Chemung,30.0,28.0,33.0,32.0,19,Chemung,3237,170.3684210526316,64.16473000683527,8.010289008945637,31.5,30.0,5.0,9.974277477635908,50.02572252236409,4.0,15.479421982108725,47.520578017891275
Chenango,41.0,31.0,45.0,39.0,39,Chenango,1441,36.94871794871795,13.915750915750914,3.730382140713055,43.0,35.0,9.0,18.213280366791253,51.78671963320875,5.0,33.67404464821736,52.32595535178264
Clinton,59.0,69.0,64.0,78.0,49,Clinton,2423,49.44897959183673,18.62364166445799,4.315511750008102,61.5,73.5,10.0,51.92244124995949,95.07755875004051,6.0,48.553464749975696,74.44653525002431
Columbia,60.0,27.0,64.0,35.0,31,Columbia,4951,159.70967741935485,60.15039798910767,7.7556687647879645,62.0,31.0,9.0,-3.900509441545843,65.90050944154584,5.0,42.61082808803009,81.38917191196991
