min_lng_rank,min_lat_rank,max_lng_rank,max_lat_rank,num_squares,county,ttl,pre_mult,mult,sqrt_mult,mid_lng_rank,mid_lat_rank,lat_rank_range,scaled_min_lat_rank,scaled_max_lat_rank,lng_rank_range,scaled_min_lng_rank,scaled_max_lng_rank,new_mid_lat_rank,new_mid_lng_rank,dummy
57.0,35.0,61.0,40.0,24,Albany,27049,1127.0416666666667,424.47023809523813,20.60267550817704,59.0,37.5,6.0,67.27212660573134,190.8881796547936,5.0,169.6955316302537,272.7089091711389,129.08015313026246,221.2022204006963,1
17.0,28.0,22.0,36.0,46,Allegany,1272,27.65217391304348,10.414455110107284,3.2271434907836496,19.5,32.0,9.0,-0.8277532686575881,28.21653814839526,6.0,-19.97278240622162,-0.6099214615197219,13.694392439868835,-10.29135193387067,1
60.0,7.0,60.0,8.0,2,Bronx,125978,62989.0,23723.12987012987,154.02314718940744,60.0,7.5,2.0,-405.0781267371052,-97.03183235829033,1.0,45.98858314657734,200.0117303359848,-251.05497954769777,123.00015674128106,1
38.0,28.0,44.0,34.0,33,Broome,9944,301.3333333333333,113.48917748917748,10.653129938622612,41.0,31.0,7.0,-74.91906587808197,-0.34715630772367234,7.0,-30.505349847105308,44.06655972325298,-37.633111092902816,6.780604938073836,1
9.0,28.0,16.0,36.0,67,Cattaraugus,2232,33.3134328358209,12.546617561542936,3.542120489416323,12.5,32.0,9.0,8.440688774256094,40.319773179003,8.0,-55.60262911917626,-27.26566520384567,24.380230976629548,-41.434147161510964,1
32.0,38.0,36.0,50.0,37,Cayuga,3515,95.0,35.77922077922078,5.9815734367489615,34.0,44.0,13.0,127.41235573337153,205.17281041110803,5.0,3.6022299861548817,33.51009716989969,166.29258307223978,18.556163578027284,1
3.0,28.0,8.0,36.0,44,Chautauqua,4765,108.29545454545456,40.78659976387249,6.386438738755151,5.5,32.0,9.0,11.162031294756591,68.63997994355296,6.0,-81.96569856560863,-43.64706613307773,39.90100561915477,-62.80638234934318,1
30.0,28.0,33.0,32.0,19,Chemung,3237,170.3684210526316,64.16473000683527,8.010289008945637,31.5,30.0,5.0,-31.91212898298312,8.139316061745063,4.0,-63.72598065806145,-31.684824622278903,-11.886406460619028,-47.70540264017018,1
41.0,31.0,45.0,39.0,39,Chenango,1441,36.94871794871795,13.915750915750914,3.730382140713055,43.0,35.0,9.0,41.09448066628842,74.66791993270591,5.0,2.2601770293322936,20.912087732897568,57.881200299497166,11.58613238111493,1
59.0,69.0,64.0,78.0,49,Clinton,2423,49.44897959183673,18.62364166445799,4.315511750008102,61.5,73.5,10.0,107.24556573257834,150.40068323265936,6.0,53.28571203596332,79.17878253601194,128.82312448261885,66.23224728598763,1
