county_name,lat,lng,state,lng_rank,lat_rank,nyc,min_lng_rank,min_lat_rank,max_lng_rank,max_lat_rank,num_squares,county,ttl,pre_mult,mult,sqrt_mult,mid_lng_rank,mid_lat_rank,scaled_lng_rank,scaled_lat_rank,test_lat_rank,test_lng_rank,new_scaled_lat_rank,new_scaled_lng_rank,square_id,min_new_scaled_lat_rank,min_new_scaled_lng_rank,max_new_scaled_lat_rank,max_new_scaled_lng_rank,dummy,prop_scaled_lat_rank,prop_scaled_lng_rank,min_prop_scaled_lat_rank,min_prop_scaled_lng_rank,max_prop_scaled_lat_rank,max_prop_scaled_lng_rank
Montgomery,42.9208860759,-74.4760759494,NY,54.0,43.0,False,52.0,41.0,57.0,44.0,21,Montgomery,1522,72.47619047619048,27.29622758194187,5.2245791774976365,54.5,42.5,51.387710411251184,45.612289588748816,12820.304341262627,16099.917079725163,12297.13056004817,12170.383323335349,0,12817.692051673877,16097.304790136413,12822.916630851376,16102.529369313912,1,12297.13056004817,12170.383323335349,12294.51827045942,12167.7710337466,12299.74284963692,12172.995612924098
Chautauqua,42.162278481,-79.6664556962,NY,3.0,30.0,False,3.0,28.0,8.0,36.0,44,Chautauqua,4765,108.29545454545456,40.78659976387249,6.386438738755151,5.5,32.0,-12.966096846887881,17.227122522489694,8944.39837762509,894.439837762509,12690.126124524508,13258.873766269056,1,8941.205158255712,891.2466183931314,8947.591596994467,897.6330571318866,1,12690.126124524508,13258.873766269056,12686.93290515513,13255.680546899679,12693.319343893885,13262.066985638434
Rensselaer,42.8625316456,-73.6618987342,NY,62.0,42.0,False,61.0,36.0,65.0,43.0,32,Rensselaer,7983,249.46875,93.95576298701296,9.693078096611671,63.0,39.5,52.30692190338833,66.23269524152919,12522.157728675125,18485.089980425182,12290.144912390402,13760.562105670697,2,12517.31118962682,18480.243441376875,12527.00426772343,18489.93651947349,1,12290.144912390402,13760.562105670697,12285.298373342097,13755.715566622392,12294.991451438707,13765.408644719002
St Lawrence,44.3797468354,-75.3920253165,NY,45.0,68.0,False,41.0,63.0,53.0,78.0,138,St Lawrence,3837,27.80434782608696,10.471767363071711,3.2360110264138022,47.0,70.5,38.527977947172396,59.90997243396549,20273.969655950204,13416.597566437636,11599.404669942902,12855.698631087735,3,20272.351650436998,13414.97956092443,20275.58766146341,13418.215571950843,1,11599.404669942902,12855.698631087735,11597.786664429696,12854.080625574528,11601.022675456108,12857.316636600941
Delaware,41.9872151899,-74.98493670890001,NY,49.0,27.0,False,45.0,25.0,54.0,35.0,70,Delaware,1949,27.84285714285714,10.486270871985157,3.2382512058185284,49.5,30.0,47.38087439709074,17.285246382544415,8049.95853986258,14609.184016787649,11685.106673088354,13144.921469121127,4,8048.339414259671,14607.56489118474,8051.57766546549,14610.803142390558,1,11685.106673088354,13144.921469121127,11683.487547485445,13143.302343518219,11686.725798691263,13146.540594724036
Nassau,40.6450632911,-73.5601265823,NY,63.0,4.0,False,62.0,3.0,64.0,8.0,14,Nassau,77998,5571.285714285716,2098.2764378478664,45.80694748450137,63.0,5.5,63.0,-64.71042122675206,1192.586450350012,18783.23659301269,10902.465804954767,14167.714465744742,5,1169.6829766077612,18760.33311927044,1215.4899240922628,18806.140066754942,1,12578.455130814906,12906.632504216355,12555.551657072656,12883.729030474105,12601.358604557156,12929.535977958605
Jefferson,43.854556962,-75.9008860759,NY,40.0,59.0,False,35.0,56.0,44.0,67.0,64,Jefferson,2259,35.296875,13.293628246753244,3.6460428202029176,39.5,61.5,41.82302141010146,49.88489294949271,17590.650142662682,11925.86450350012,12798.971321513822,13579.372180574112,6,17588.82712125258,11924.041482090017,17592.473164072784,11927.687524910221,1,12798.971321513822,13579.372180574112,12797.14830010372,13577.54915916401,12800.794342923924,13581.195201984214
Essex,43.854556962,-73.7636708861,NY,61.0,59.0,False,56.0,58.0,65.0,70.0,88,Essex,1529,17.375,6.5438311688311686,2.5580913136225547,60.5,64.0,62.279045656811284,46.20954343188723,17590.650142662682,18186.943367837684,13174.721492122799,13253.456800643326,7,17589.37109700587,18185.664322180874,17591.929188319493,18188.222413494495,1,13174.721492122799,13253.456800643326,13173.442446465988,13252.177754986515,13176.00053777961,13254.735846300136
Jefferson,44.1463291139,-75.6973417722,NY,42.0,64.0,False,35.0,56.0,44.0,67.0,64,Jefferson,2259,35.296875,13.293628246753244,3.6460428202029176,39.5,61.5,51.11510705050729,73.11510705050729,19081.383205600192,12522.157728675125,13081.266883408494,13403.634261325295,8,19079.56018419009,12520.334707265023,19083.206227010294,12523.980750085228,1,13081.266883408494,13403.634261325295,13079.443861998392,13401.811239915192,13083.089904818597,13405.457282735397
Suffolk,40.8201265823,-72.6441772152,NY,72.0,7.0,False,64.0,4.0,79.0,15.0,48,Suffolk,65213,1358.6041666666667,511.6820887445887,22.620390994511762,71.5,9.5,83.31019549725588,-49.55097748627939,2087.026288112521,21466.556106300213,10688.411537680457,14730.047187463708,9,2075.716092615265,21455.245910802958,2098.3364836097767,21477.86630179747,1,12228.440626383319,13154.394191515934,12217.130430886064,13143.083996018679,12239.750821880574,13165.70438701319
